agent,runs,tasks,successful_runs,pass_rate_micro,median_duration_seconds,median_steps,median_tool_calls,trajectory_coverage,cost_field_coverage,positive_cost_coverage,median_positive_cost_usd,mean_suspected_waste_rate,mean_error_event_rate,mean_repeat_rate,missing_verification_rate,dataset_revision,snapshot_cutoff,pass_rate_macro_by_task,pass_rate_wilson_low,pass_rate_wilson_high,cost_metrics_eligible,public_rank_eligible,observed_cost_per_success_usd
goose,1332,89,589,0.4421921921921922,306.13800048828125,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-12-06 16:26:30.267799+00:00,0.443231674692349,0.41572452830523615,0.46899234231774795,false,true,
deepagent-harbor,433,89,293,0.6766743648960739,584.7680053710938,22.0,18.0,0.9630484988452656,1.0,0.0,,0.03023985280155329,0.0460080579561338,0.04579191047767779,0.11778290993071594,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-02-10 17:36:51.789353+00:00,0.6651685393258426,0.6312296035094792,0.7190117654443934,false,true,
final,322,89,75,0.2329192546583851,924.9210205078125,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-12-09 20:40:19.549024+00:00,0.42696629213483145,0.19006406001781823,0.2820720944817913,false,true,
terminus-2,17431,89,5854,0.33583844874074925,435.7030029296875,14.0,23.0,0.9145201078538236,1.0,0.7940450920773335,0.1292650032043457,0.009319152487522868,0.07795410740635525,0.054340177071158555,0.6157420687281281,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-02-18 02:55:27.506195+00:00,0.3342104468169192,0.32886402446752966,0.3428852158582327,false,true,
Junie,445,89,286,0.6426966292134831,293.8320007324219,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-12-23 00:20:17.830932+00:00,0.6426966292134831,0.5971250751373883,0.6858255248070019,false,true,
spoox-m,445,89,155,0.34831460674157305,879.822998046875,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-30 20:06:17.418645+00:00,0.34831460674157305,0.3055165180810726,0.3937092221355206,false,true,
claude-code,3092,89,1247,0.40329883570504527,306.9919891357422,33.0,18.0,0.815653298835705,1.0,0.3816300129366106,0.48509624481201175,0.0062396225666969144,0.05222638243547055,0.02273186638297414,0.7189521345407504,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-02-07 08:07:25.245578+00:00,0.4033640984483681,0.386137822005024,0.4206998404903697,false,true,
openhands,6198,89,1745,0.2815424330429171,606.6239929199219,63.0,49.0,0.9769280413036463,1.0,0.8906098741529526,0.43744256973266604,0.002171249861833328,0.059236941832009726,0.46585580305765106,0.28589867699257826,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-01-04 08:38:06.649018+00:00,0.2811779279371739,0.2704833741677481,0.29287212978449734,true,true,5.596951022943018
sage,445,89,290,0.651685393258427,305.2770080566406,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-02-13 21:38:10.601513+00:00,0.6516853932584269,0.6062907778644794,0.6944834819189275,false,true,
codex,3532,89,1597,0.45215175537938845,283.1840057373047,0.0,0.0,0.39920724801812,1.0,0.6214609286523216,0.0499823522567749,0.0006248926359278246,0.04707323563351363,0.001803429073554093,0.22904869762174404,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-12-18 14:05:50.058055+00:00,0.4523321904900853,0.43579844417994273,0.46860903832719225,false,true,
