agent,model,runs,tasks,successful_runs,pass_rate_micro,median_duration_seconds,median_steps,median_tool_calls,trajectory_coverage,cost_field_coverage,positive_cost_coverage,median_positive_cost_usd,mean_suspected_waste_rate,mean_error_event_rate,mean_repeat_rate,missing_verification_rate,dataset_revision,snapshot_cutoff,pass_rate_macro_by_task,pass_rate_wilson_low,pass_rate_wilson_high,cost_metrics_eligible,public_rank_eligible,observed_cost_per_success_usd
openhands,claude-haiku-4-5-20251001@anthropic,444,89,62,0.13963963963963963,1033.3159790039062,198.0,9.5,0.9414414414414415,1.0,0.9414414414414415,2.4775394439697265,0.0,0.044658309117580876,0.254087834793591,0.26126126126126126,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-04 09:44:26.387739+00:00,0.1393258426966292,0.11047987209707613,0.17498177327039302,true,true,50.3962891538297
claude-code,claude-opus-4-1-20250805@anthropic,437,89,152,0.34782608695652173,346.2139892578125,45.0,24.0,0.9244851258581236,1.0,0.9107551487414187,1.7191214752197266,0.006041549737312093,0.052230170777218636,0.026135825450003244,0.8649885583524027,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-05 12:07:55.229021+00:00,0.34831460674157305,0.30467156505164533,0.3936327692035611,true,true,8.583053637805738
gemini-cli,gemini-2.5-flash@gemini,439,89,68,0.1548974943052392,179.9759979248047,9.0,7.0,0.9248291571753986,1.0,0.9225512528473804,0.02660520076751709,0.04573422646604956,0.2865494650159569,0.06272379894972313,0.07061503416856492,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-05 12:07:50.347417+00:00,0.1544943820224719,0.12406014135760626,0.1917222964260166,true,true,0.4608986153344021
openhands,gpt-5-nano@openai,444,89,44,0.0990990990990991,1007.9695129394531,65.0,46.0,0.9617117117117117,1.0,0.9594594594594594,0.040965740680694585,0.0,0.06680998973852241,0.44446041465958486,0.43243243243243246,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-04 05:13:19.963332+00:00,0.09887640449438204,0.07465148517427705,0.13042459529703243,true,true,0.6071260145306587
mini-swe-agent,claude-haiku-4-5-20251001@anthropic,444,89,132,0.2972972972972973,246.71700286865234,23.0,21.0,0.963963963963964,1.0,0.963963963963964,0.10556145191192627,0.002005751180551909,0.11099439853021782,0.0038925485462893167,0.6711711711711712,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-04 09:29:42.892509+00:00,0.29831460674157306,0.25666777291265297,0.3414044026065485,true,true,0.7514865266599439
terminus-2,gpt-5.3-codex@openai,445,89,288,0.647191011235955,572.2620239257812,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-02-05 09:12:19.829942+00:00,0.6471910112359551,0.6017058064153102,0.6901566234485883,false,true,
openhands,gemini-2.5-pro@gemini,445,89,73,0.16404494382022472,329.0719909667969,53.0,47.0,0.9797752808988764,1.0,0.9775280898876404,0.21588836669921874,0.0,0.0849251404658377,0.5072575294825881,0.1842696629213483,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-04 03:24:19.244587+00:00,0.16404494382022472,0.13254029206875623,0.20130042144799448,true,true,2.9163949126984976
openhands,qwen/qwen3-coder-480b-a35b-instruct-fp8@together_ai,878,89,226,0.25740318906605925,440.9389953613281,83.0,73.0,0.9908883826879271,1.0,0.9886104783599089,1.6486589813232422,0.0,0.060788022417829955,0.5396466415217865,0.2847380410022779,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-04 09:39:44.880246+00:00,0.2554307116104869,0.22958413497345856,0.28733591053131247,true,true,12.815742845366486
terminus-2,gpt-5.1-codex@openai,445,89,164,0.3685393258426966,853.8389892578125,13.0,20.0,1.0,1.0,0.9685393258426966,0.18731950759887694,0.01552458432801103,0.06425371147346821,0.07603611482689723,0.3955056179775281,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,,0.36853932584269666,0.3250205421285081,0.41430843272587264,true,true,0.84131916259211
terminus-2,claude-sonnet-4-5-20250929@anthropic,440,89,190,0.4318181818181818,508.3605041503906,24.5,36.0,1.0,1.0,0.9977272727272727,0.25272600173950194,0.01343898101286796,0.06555907456894633,0.06174729565437982,0.6409090909090909,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,,0.4280898876404495,0.38632202257199905,0.47849461471481686,true,true,1.20542577313122
Factory Droid,gpt-5.2@openai,444,89,289,0.6509009009009009,691.2684936523438,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-12-19 05:41:46.394262+00:00,0.649438202247191,0.6054380097685285,0.6937749262338438,false,true,
