model,runs,tasks,successful_runs,pass_rate_micro,median_duration_seconds,median_steps,median_tool_calls,trajectory_coverage,cost_field_coverage,positive_cost_coverage,median_positive_cost_usd,mean_suspected_waste_rate,mean_error_event_rate,mean_repeat_rate,missing_verification_rate,dataset_revision,snapshot_cutoff,pass_rate_macro_by_task,pass_rate_wilson_low,pass_rate_wilson_high,cost_metrics_eligible,public_rank_eligible,observed_cost_per_success_usd,comparison_scope
gpt-5.2-codex@openai,433,89,293,0.6766743648960739,584.7680053710938,22.0,18.0,0.9630484988452656,1.0,0.0,,0.03023985280155329,0.0460080579561338,0.04579191047767779,0.11778290993071594,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-02-10 17:36:51.789353+00:00,0.6651685393258426,0.6312296035094792,0.7190117654443934,false,true,,uncontrolled_historical_model_summary
claude-opus-4-5@anthropic,1065,89,600,0.5633802816901409,326.3819885253906,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-01-16 00:52:53.821215+00:00,0.563925774599932,0.5334177084921656,0.5928872556858753,false,true,,uncontrolled_historical_model_summary
claude-sonnet-4-5-20250929@anthropic,1762,89,739,0.4194097616345062,430.1439971923828,41.0,39.0,0.9653802497162316,1.0,0.9545970488081725,0.35371950149536135,0.005614084787277972,0.060541845667886326,0.1558653269213763,0.6555051078320091,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-05 12:07:56.996486+00:00,0.41913069189828506,0.3965681809154695,0.4426019915394097,true,true,1.5259150203171215,uncontrolled_historical_model_summary
grok-4-0709@xai,1325,89,337,0.25433962264150944,936.1669921875,16.0,19.0,0.9630188679245283,1.0,0.7758490566037736,0.06712830066680908,0.005321616024665694,0.058237950969611575,0.1929208341575295,0.4671698113207547,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-04 05:13:19.402989+00:00,0.2525414660246121,0.2316238907072896,0.27847573290473465,false,true,,uncontrolled_historical_model_summary
glm-4.7@z-ai,872,89,295,0.338302752293578,391.4339904785156,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-02-07 07:32:39.301713+00:00,0.3340823970037453,0.30766924767083287,0.37035472378701967,false,true,,uncontrolled_historical_model_summary
gpt-5@openai,1767,89,719,0.40690435766836447,534.8800048828125,13.0,15.0,0.969439728353141,1.0,0.9683078664402943,0.215195255279541,0.0016320430213432686,0.09315484207622532,0.13958067610596858,0.4680249009620826,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-05 12:07:52.479278+00:00,0.40600236546422236,0.38422443793354777,0.42998819407148303,true,true,0.7827307651454118,uncontrolled_historical_model_summary
accounts/fireworks/models/glm-4p6@fireworks_ai,904,89,224,0.24778761061946902,268.64500427246094,28.0,38.0,1.0,1.0,1.0,0.05604959487915039,0.008518311830959129,0.1284351703243011,0.05105503977825072,0.7942477876106194,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-02 23:05:02.364517+00:00,0.2453183520599251,0.22075045871185636,0.2769592739111034,true,true,0.4718257430342159,uncontrolled_historical_model_summary
gpt-5.1-codex-max@openai,445,89,269,0.604494382022472,472.1650085449219,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-25 01:53:28.493116+00:00,0.604494382022472,0.5583554128667828,0.6488446327617866,false,true,,uncontrolled_historical_model_summary
gpt-5.1-codex-mini@openai,445,89,192,0.4314606741573034,283.27301025390625,0.0,0.0,0.0,1.0,0.8876404494382022,0.048593850135803224,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-17 23:57:08.695801+00:00,0.4314606741573034,0.38622298273849565,0.4778716109890021,true,true,0.2642499913738963,uncontrolled_historical_model_summary
gpt-5.3-codex@openai,2223,89,1582,0.711650922177238,456.6319885253906,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-02-22 14:06:59.934718+00:00,0.7116292134831461,0.6924672544599104,0.7301043375204084,false,true,,uncontrolled_historical_model_summary
claude-opus-4-6@anthropic,3065,89,2059,0.6717781402936378,470.3599853515625,0.0,0.0,0.41892332789559544,1.0,0.40522022838499183,0.31173500061035153,0.01935271560090085,0.020600996258053124,0.05064031992597021,0.26199021207177814,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-02-19 03:15:26.997626+00:00,0.6724078514070626,0.6549480478157095,0.6881781663232021,false,true,,uncontrolled_historical_model_summary
kimi-k2.5@kimi,435,89,189,0.43448275862068964,474.7909851074219,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-01-28 06:56:05.571068+00:00,0.43202247191011234,0.3886748159335843,0.4814377713872166,false,true,,uncontrolled_historical_model_summary
claude-sonnet-4-5@anthropic,890,89,399,0.44831460674157303,357.614501953125,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-12-21 07:51:20.629373+00:00,0.4483146067415731,0.41593257987850507,0.4811409060724733,false,true,,uncontrolled_historical_model_summary
