task_name,runs,agents,models,pass_rate,median_duration_seconds,median_steps,mean_suspected_waste_rate
sqlite-with-gcov,588,26,44,0.6615646258503401,228.5584945678711,8.0,0.0076439640965522936
path-tracing,576,26,44,0.1753472222222222,1056.4339599609375,10.0,0.001604242160490986
qemu-alpine-ssh,586,26,44,0.2781569965870307,798.5059814453125,9.5,0.01620730054242258
protein-assembly,586,26,44,0.18771331058020477,614.5539855957031,11.0,0.010745937869891777
modernize-scientific-stack,585,26,44,0.9247863247863248,125.76699829101562,7.0,0.002734282653086072
winning-avg-corewars,587,26,44,0.29982964224872233,957.2000122070312,30.0,0.0035217516978281647
compile-compcert,586,26,44,0.3890784982935154,1689.6739501953125,29.0,0.022670611446037714
extract-elf,588,26,44,0.4336734693877551,236.31099700927734,7.0,0.00266568130148008
fix-ocaml-gc,577,26,44,0.5233968804159446,1669.240966796875,36.0,0.027744233446291185
model-extraction-relu-logits,586,26,44,0.13139931740614336,422.5484924316406,7.0,0.0008338478423417344
llm-inference-batching-scheduler,588,26,44,0.41156462585034015,640.239990234375,18.0,0.003920849789317917
git-leak-recovery,583,26,44,0.8542024013722127,152.7969970703125,8.0,0.0030815195745419327
reshard-c4-data,579,26,44,0.46286701208981,501.3760070800781,10.0,0.0029715002353598967
rstan-to-pystan,579,26,44,0.35578583765112265,1336.675048828125,17.0,0.017260765711514154
regex-chess,580,26,44,0.08103448275862069,1028.1875,7.0,0.003391809891821475
caffe-cifar-10,584,26,44,0.023972602739726026,1244.9425048828125,10.5,0.011238765798639411
make-mips-interpreter,575,26,44,0.07652173913043478,1453.217041015625,24.0,0.004250184570907655
fix-git,586,26,44,0.878839590443686,133.87149810791016,9.0,0.006659619736500947
pytorch-model-recovery,581,26,44,0.46471600688468157,684.1480102539062,7.0,0.01909735469407205
cobol-modernization,593,26,44,0.821247892074199,374.9939880371094,11.0,0.003061437272228149
multi-source-data-merger,588,26,44,0.8843537414965986,173.0695037841797,7.0,0.0013425211354383022
mailman,579,26,44,0.45077720207253885,647.0449829101562,20.0,0.005108629599024497
train-fasttext,581,26,44,0.025817555938037865,3645.2939453125,26.0,0.054991022881180074
filter-js-from-html,585,26,44,0.005128205128205128,683.2789916992188,6.0,0.0014325384882619826
count-dataset-tokens,594,26,44,0.40404040404040403,291.6449890136719,11.0,0.0021049640208296665
gcode-to-text,584,26,44,0.0702054794520548,293.2409973144531,8.0,0.00432764523753589
mteb-leaderboard,580,26,44,0.07758620689655173,550.7615051269531,9.0,0.012388982798067544
financial-document-processor,587,26,44,0.25383304940374785,452.6470031738281,12.0,0.0052367566671574555
feal-differential-cryptanalysis,585,26,44,0.3435897435897436,790.0369873046875,9.0,0.0024846241080369023
path-tracing-reverse,579,26,44,0.16062176165803108,801.959,12.0,0.0023756724589243934
raman-fitting,583,26,44,0.015437392795883362,354.0050048828125,12.0,0.00447184470805981
mcmc-sampling-stan,585,26,44,0.5794871794871795,1108.35498046875,13.0,0.025560686540737707
polyglot-c-py,582,26,44,0.14261168384879724,349.41650390625,5.0,0.00043756272763175255
git-multibranch,584,26,44,0.7003424657534246,307.2364959716797,10.0,0.0015929979113492305
cancel-async-tasks,594,26,44,0.42424242424242425,151.49250030517578,5.0,0.0005964512447750905
password-recovery,575,26,44,0.4226086956521739,501.2409973144531,20.0,0.006883019997931003
largest-eigenval,588,26,44,0.3741496598639456,486.5429992675781,16.0,0.006532395008760209
vulnerable-secret,586,26,44,0.7337883959044369,228.15799713134766,14.0,0.004777593271712123
configure-git-webserver,599,26,44,0.5342237061769616,221.78900146484375,8.0,0.002360439823339504
build-cython-ext,584,26,44,0.3493150684931507,532.1259765625,21.0,0.0059954291584940304
merge-diff-arc-agi-task,583,26,44,0.62778730703259,309.42401123046875,12.0,0.003402184352971388
qemu-startup,587,26,44,0.596252129471891,427.3429870605469,5.0,0.005351223482061782
build-pmars,591,26,44,0.6412859560067682,259.510986328125,14.0,0.004469527812637418
db-wal-recovery,591,26,44,0.09137055837563451,480.1340026855469,19.0,0.008143269810200023
bn-fit-modify,587,26,44,0.5059625212947189,406.16900634765625,12.0,0.003515129545912413
query-optimize,584,26,44,0.3458904109589041,947.2535095214844,7.0,0.010535903687024142
write-compressor,584,26,44,0.1934931506849315,926.4970092773438,6.0,0.00652823835616826
overfull-hbox,582,26,44,0.33505154639175255,403.4674987792969,13.0,0.005591768137724541
feal-linear-cryptanalysis,580,26,44,0.32241379310344825,996.89501953125,15.0,0.01976749898185163
extract-moves-from-video,586,26,44,0.023890784982935155,1262.5389404296875,13.0,0.01332372265072934
distribution-search,591,26,44,0.637901861252115,395.822998046875,9.0,0.005285685066508765
dna-assembly,595,26,44,0.07394957983193277,653.0369873046875,9.0,0.008120793593590787
circuit-fibsqrt,576,26,44,0.2725694444444444,995.125,14.0,0.004035604834918049
